"","Screen_bg","participant","PROLIFIC_PID","Age","Gender","Handedness","Native.Language","date","expName","psychopyVersion","OS","frameRate","id","session","researcher","browser","xResolution","yResolution","PreTargetDisplayTime","preResp.keys","preResp.corr","Target","ResponseKey_p.keys","ResponseKey_p.corr","ResponseKey_p.rt","prctrials.thisTrialN","Block","Distractor1","Distractor2","Condition","Validity","CorrectAnswer","PositionT","PositionD","Saliency","WordPair","ResponseKey.keys","ResponseKey.corr","RT_Trials","RT_secondary","firstlearntrials.thisN","Exptrials.thisN","brkcontinue.rt","afterpause.rt","BlockCount","CA_RespKey.keys","CA_RespKey.corr","CA_RespKey.rt","AwarenessResp.keys","AwarenessResp.rt","Questionnaire.thisN","AwareQ","Performance","ContingencyChkScore","todebrief.rt","ExpExit.rt","preResp.rt","ACC_trials","ErrorRate","Outlier","Farouts","RT_ifo","RT_io"
"8764","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,200,NA,0,"3",NA,NA,NA,NA,"Experiment","Tisch","Stein","learn","valid","a","bottom","bottom","Stein",3,"[""a""]",1,615.415000007488,NA,NA,203,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,615.415000007488,615.415000007488
"8765","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"9",NA,NA,NA,NA,"Experiment","Kreis","Markt","learn","invalid","a","bottom","top","Kreis",3,"[""a""]",1,801.939999990282,NA,NA,204,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,801.939999990282,801.939999990282
"8766","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"7",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","valid","a","bottom","top","Stein",3,"[""a""]",1,622.065000003204,NA,NA,205,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,622.065000003204,622.065000003204
"8767","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,350,NA,0,"3",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","valid","a","bottom","top","Stein",3,"[""a""]",1,502.689999993891,NA,NA,206,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,502.689999993891,502.689999993891
"8768","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,300,NA,0,"8",NA,NA,NA,NA,"Experiment","Kreis","Markt","learn","valid","l","bottom","top","Kreis",3,"[""l""]",1,562.624999991385,NA,NA,207,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,562.624999991385,562.624999991385
"8769","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,350,NA,0,"6",NA,NA,NA,NA,"Experiment","Markt","Kreis","learn","valid","l","top","bottom","Kreis",3,"[""l""]",1,574.809999990975,NA,NA,208,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,574.809999990975,574.809999990975
"8770","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"3",NA,NA,NA,NA,"Experiment","Markt","Markt","test","invalid","a","top","nil","nonsalient",3,"[""a""]",1,658.150000002934,NA,NA,209,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,658.150000002934,658.150000002934
"8771","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,350,NA,0,"5",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","valid","a","bottom","top","Stein",3,"[""a""]",1,1533.77999999793,NA,NA,210,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,NA,NA
"8772","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,300,NA,0,"9",NA,NA,NA,NA,"Experiment","Stein","Stein","test","valid","a","bottom","nil","salient",3,"[""a""]",1,996.729999998934,NA,NA,211,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,996.729999998934,996.729999998934
"8773","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,300,NA,0,"2",NA,NA,NA,NA,"Experiment","Kreis","Markt","learn","valid","l","top","top","Kreis",3,"[""l""]",1,689.190000004601,NA,NA,212,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,689.190000004601,689.190000004601
"8774","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,350,NA,0,"7",NA,NA,NA,NA,"Experiment","Tisch","Stein","learn","valid","a","top","bottom","Stein",3,"[""a""]",1,625.830000004498,NA,NA,213,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,625.830000004498,625.830000004498
"8775","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,150,NA,0,"3",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","valid","a","top","top","Stein",3,"[""a""]",1,650.965000008,NA,NA,214,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,650.965000008,650.965000008
"8776","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,200,NA,0,"9",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","valid","a","bottom","top","Stein",3,"[""a""]",1,609.425000002375,NA,NA,215,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,609.425000002375,609.425000002375
"8777","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"5",NA,NA,NA,NA,"Experiment","Tisch","Tisch","test","valid","a","top","nil","nonsalient",3,"[""a""]",1,667.685000007623,NA,NA,216,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,667.685000007623,667.685000007623
"8778","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,250,NA,0,"3",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","valid","a","top","top","Stein",3,"[""a""]",1,747.740000006161,NA,NA,217,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,747.740000006161,747.740000006161
"8779","white",26,"5fa0256c1e50c30411603df4",28,"female","right","German","2020-11-18_14h18.51.790","Exp3","2020.1.3","Win32",60,NA,NA,NA,"Chrome",1536,864,350,NA,0,"7",NA,NA,NA,NA,"Experiment","Stein","Tisch","learn","valid","a","bottom","top","Stein",3,"[""a""]",1,741.284999996424,NA,NA,218,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1025.14499998506,1291.56749997492,741.284999996424,741.284999996424
